# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	27429
#@/user_id	659266f3-df3f-408b-a1c2-a69bcad06620
a 	啊	c=16 d=1.03335 t=9474
na dang 	那檔	c=1 d=1 t=5092
na dao 	拿到	c=66 d=1.96562 t=26819
na dao de 	拿到的	c=1 d=1 t=20319
na dao le 	拿到了	c=3 d=1 t=22109
na ge 	哪個	c=11 d=0.1 t=22405
na ge 	那個	c=18 d=1.00001 t=21745
na ge da 	哪個大	c=1 d=1 t=22406
na ge ren 	那個人	c=1 d=1 t=4814
na guo 	拿過	c=0 d=0.1 t=21997
na guo li 	拿過裏	c=1 d=1 t=21998
na ji ge 	那幾個	c=2 d=1 t=11302
na jia 	哪家	c=2 d=1.89583 t=1869
na lai 	哪來	c=1 d=1 t=6284
na lai 	拿來	c=1 d=1 t=6283
na le 	拿了	c=1 d=1 t=24329
na li 	哪裏	c=16 d=1.00039 t=26689
na li 	那裏	c=1 d=1 t=17993
na me 	那麼	c=39 d=1.56565 t=27195
na ni 	那你	c=2 d=1.7298 t=4439
na ni qu 	那你去	c=1 d=1 t=2561
na que shi 	那確實	c=1 d=1 t=7759
na suo 	拿鎖	c=11 d=1.00007 t=21802
na tian 	哪天	c=1 d=1 t=27384
na tiao 	那條	c=1 d=1 t=23314
na wo 	那我	c=6 d=1 t=18078
na wo men 	那我們	c=1 d=1 t=6558
na xie 	哪些	c=1 d=1 t=20039
na xie 	那些	c=5 d=1.0001 t=22886
na ya 	哪呀	c=1 d=1 t=21627
na yang 	那樣	c=1 d=1 t=23561
na yi ge 	哪一個	c=0 d=0.1 t=19146
na you 	哪有	c=1 d=1 t=7386
na zhe 	拿着	c=1 d=1 t=26813
na zhong 	哪種	c=0 d=0.1 t=26803
na zhong 	那種	c=1 d=1 t=21718
na zhong hao 	哪種好	c=1 d=1 t=26804
na zou 	拿走	c=1 d=1 t=3058
nai xin 	耐心	c=1 d=1 t=10114
nan 	男	c=1 d=1 t=13458
nan beng 	男泵	c=1 d=1 t=1804
nan beng 	難崩	c=1 d=1 t=17857
nan dian 	難點	c=3 d=1.99501 t=9445
nan du 	難度	c=1 d=1 t=5894
nan guo 	难过	c=1 d=1 t=9365
nan jing 	南京	c=2 d=1.99501 t=20116
nan kai 	南開	c=1 d=1 t=2782
nan nan 	難難	c=1 d=1 t=5695
nao zi 	腦子	c=0 d=0.1 t=23300
ne 	呢	c=8 d=1 t=27200
nei 	內	c=17 d=1.94245 t=26954
nei bu 	內部	c=5 d=1.53961 t=25530
nei bu biao 	內部表	c=15 d=3.04013 t=26760
nei bu biao zhong 	內部表中	c=1 d=1 t=25923
nei cun 	內存	c=54 d=2.11421 t=26950
nei cun tong ji 	內存統計	c=2 d=1 t=24386
nei cun zhong 	內存中	c=4 d=1.32793 t=26956
nei gou 	內購	c=1 d=1 t=19684
nei jian 	內建	c=1 d=1 t=18366
nei rong 	內容	c=26 d=1.61758 t=24796
neng 	能	c=15 d=1.01122 t=25550
neng ba 	能把	c=1 d=1 t=9587
neng bei 	能被	c=2 d=1 t=24693
neng bu neng 	能不能	c=2 d=1 t=23086
neng cheng wei 	能成爲	c=1 d=1 t=10673
neng cong 	能從	c=3 d=1.9802 t=24687
neng cun 	能存	c=1 d=1 t=17018
neng fou 	能否	c=2 d=0.1 t=25081
neng fou yong 	能否用	c=1 d=1 t=25082
neng gou 	能夠	c=30 d=1.85709 t=26285
neng gou zai 	能夠在	c=1 d=1 t=4039
neng kan 	能看	c=0 d=0.1 t=9901
neng kan dao 	能看到	c=1 d=1 t=14164
neng kan wan de 	能看完的	c=1 d=1 t=9902
neng kuai 	能快	c=1 d=1 t=17831
neng li 	能力	c=7 d=1.01494 t=26277
neng rong na 	能容納	c=1 d=1 t=17014
neng xing 	能行	c=1 d=1 t=26630
neng you 	能有	c=1 d=1 t=25487
neng zai 	能在	c=1 d=1 t=22104
neng zhao dui 	能找對	c=1 d=1 t=2024
neng zhui ping 	能追平	c=1 d=1 t=1532
neng zuo 	能做	c=1 d=1.03312 t=26746
neng zuo de 	能做的	c=1 d=1 t=26526
ni 	你	c=21 d=0.100003 t=27355
ni 	尼	c=1 d=1 t=432
ni bu 	你不	c=3 d=1 t=8189
ni bu li wo 	你不理我	c=1 d=1 t=6409
ni bu shi 	你不是	c=2 d=1 t=6084
ni de 	你的	c=5 d=1 t=19004
ni de 	逆的	c=1 d=1 t=4363
ni dou 	你都	c=0 d=0.1 t=1871
ni dou zhi dao 	你都知道	c=1 d=1 t=1872
ni gei qian 	你給錢	c=1 d=1 t=4658
ni gei wo 	你給我	c=0 d=0.1 t=8444
ni gei wo dian 	你給我點	c=1 d=1 t=8445
ni hai mei 	你還沒	c=1 d=1 t=13689
ni hai shi 	你還是	c=1 d=1 t=7694
ni hui 	你會	c=1 d=1 t=8908
ni jiao 	你腳	c=1 d=1 t=7928
ni jin tian 	你今天	c=1 d=1 t=27424
ni jiu 	你就	c=1 d=1 t=5471
ni jue de 	你覺得	c=1 d=1 t=4467
ni kan 	你看	c=1 d=1 t=6537
ni kang 	尼康	c=1 d=1 t=9356
ni ke yi 	你可以	c=8 d=1.00485 t=7067
ni lai 	你來	c=0 d=0.1 t=8763
ni lai shang hai 	你來上海	c=1 d=1 t=8764
ni liao jie 	你瞭解	c=2 d=1.97045 t=2953
ni ma 	你媽	c=2 d=1.00472 t=4396
ni ma de 	你媽的	c=1 d=1 t=8758
ni mei jiao 	你沒交	c=1 d=1 t=27356
ni mei you 	你沒有	c=1 d=1 t=8779
ni men 	你們	c=4 d=0.100001 t=7727
ni men you 	你們有	c=1 d=1 t=7728
ni ne 	你呢	c=0 d=0.1 t=21728
ni neng 	你能	c=1 d=1 t=4643
ni qu 	你去	c=1 d=1 t=6100
ni sha shi hou 	你啥時候	c=1 d=1 t=6167
ni shi 	你是	c=2 d=0.106348 t=4387
ni shi yao 	你是要	c=1 d=1 t=4388
ni ta ma 	你他媽	c=1 d=1 t=4414
ni ta ma de 	你他媽的	c=1 d=1 t=8271
ni ting bu dao 	你聽不到	c=1 d=1 t=19444
ni wen 	你問	c=1 d=1 t=7783
ni xian 	倪宪	c=0 d=0.1 t=1905
ni xian zai 	你現在	c=1 d=1 t=1907
ni xian zai zai 	倪宪仔仔	c=1 d=1 t=1906
ni yan zheng 	你驗證	c=1 d=1 t=9180
ni yao 	你要	c=2 d=0.1 t=13267
ni yao ma 	你要嗎	c=1 d=1 t=13268
ni yao xue xi 	你要学习	c=1 d=1 t=8900
ni yong 	你用	c=1 d=1 t=5103
ni you 	你有	c=4 d=1 t=18218
ni zai 	你在	c=2 d=1 t=11115
ni zen me 	你怎麼	c=6 d=1.8272 t=8277
ni zhan dou 	你戰鬥	c=1 d=1 t=5506
ni zhe 	你這	c=1 d=1 t=5269
ni zhe shi 	你這是	c=1 d=1 t=8268
ni zhi 	你只	c=0 d=0.193239 t=4369
ni zhi dao 	你知道	c=5 d=1.91393 t=18483
ni zhi dao ma 	你知道嗎	c=2 d=1 t=18473
ni zhi hou 	你之後	c=1 d=1 t=7073
ni zhi shuo 	你只說	c=1 d=1 t=4370
ni zhi you 	你只有	c=1 d=1 t=4356
ni zhuan zhu 	你專注	c=1 d=1 t=6964
nian 	年	c=9 d=1.93524 t=25443
nian jian 	年鑑	c=1 d=1 t=24353
nian qian 	年前	c=1 d=1 t=6337
nian zhong 	年終	c=1 d=1 t=366
nie 	捏	c=2 d=1 t=23187
nin 	您	c=3 d=1 t=17965
nin hao 	您好	c=3 d=1 t=17538
ning shen 	凝神	c=1 d=1 t=11112
ning yuan 	寧遠	c=0 d=0.1 t=8286
niu bi 	牛逼	c=2 d=1.78663 t=25177
nong 	弄	c=2 d=1.00001 t=7000
nong 	濃	c=1 d=1 t=10402
nong le 	弄了	c=0 d=0.1 t=6738
nong le ma 	弄了嗎	c=1 d=1 t=6739
nong nong 	弄弄	c=1 d=1 t=1673
nuo 	挪	c=1 d=1 t=26677
nuo 	諾	c=1 d=1 t=14247
nuo bei er 	諾貝爾	c=1 d=1 t=26306
o 	哦	c=19 d=0.100003 t=25191
o 	噢	c=2 d=1 t=19452
o dui 	哦對	c=1 d=1 t=8315
o o 	哦哦	c=1 d=1 t=7724
o o 	噢噢	c=5 d=1.00077 t=7932
ou fan 	偶犯	c=2 d=1 t=27365
ou meng 	歐盟	c=0 d=0.1 t=703
ou ou ou 	嘔嘔嘔	c=1 d=1 t=462
ou shu 	偶數	c=1 d=1 t=4280
pa 	怕	c=1 d=1 t=24105
pai 	牌	c=1 d=1 t=18464
pai ban 	排版	c=1 d=1 t=6423
pai dui 	排隊	c=1 d=1 t=5140
pai ming 	排名	c=1 d=1 t=4438
pai nao dai 	拍腦袋	c=1 d=1 t=12761
pai xu 	排序	c=2 d=1 t=10269
pai zhao 	拍照	c=1 d=1 t=9828
pan 	盤	c=3 d=1.17291 t=21486
pan duan 	判斷	c=18 d=1.14106 t=22115
pan duan le 	判斷了	c=1 d=1 t=9871
pang 	龐	c=1 d=1 t=24549
pang bian 	旁邊	c=1 d=1 t=2562
pao 	跑	c=12 d=1.039 t=22628
pao de 	跑的	c=1 d=1 t=21699
pao lu 	跑路	c=1 d=1 t=5791
pao qi 	拋棄	c=3 d=2.83249 t=20374
pao wan 	跑完	c=1 d=1 t=20854
pao zai 	泡在	c=2 d=1.19989 t=21991
pao zai 	跑在	c=1 d=1 t=21992
pao zhi qian 	跑之前	c=1 d=1 t=6435
pei 	培	c=4 d=1 t=9386
pei hao 	配好	c=0 d=0.1 t=9109
pei hao le 	配好了	c=1 d=1 t=9110
pei xun 	培訓	c=5 d=1.59374 t=18547
pei yang 	培養	c=2 d=1 t=21239
pei yang fang an 	培養方案	c=1 d=1 t=2276
pei yue 	配樂	c=1 d=1 t=24678
pei zhi 	配置	c=24 d=1 t=27429
pei zhi xiang 	配置項	c=1 d=1 t=19069
peng zhang 	膨脹	c=1 d=1 t=6382
peng zhuang 	碰撞	c=1 d=1 t=4670
pi gu 	屁股	c=1 d=1 t=5270
pi jiu 	啤酒	c=1 d=1 t=7762
pi liang 	批量	c=0 d=0.1 t=9474
pi liang sheng ji 	批量升級	c=1 d=1 t=9475
pi pa 	枇杷	c=1 d=1 t=9334
pi pa 	琵琶	c=1 d=1 t=9333
pi pei 	匹配	c=3 d=1.97045 t=22385
pian cha 	偏差	c=4 d=3.62117 t=14124
pian da 	偏大	c=2 d=1 t=20320
pian wen zhang 	篇文章	c=0 d=0.1 t=14739
pian xu 	偏序	c=1 d=1 t=1266
pian yi 	便宜	c=1 d=0.852014 t=5147
pin 	拼	c=1 d=1 t=2639
pin lv 	頻率	c=8 d=1.96408 t=26433
pin qi lai 	拼起來	c=1 d=1 t=2237
pin xie 	拼寫	c=0 d=0.1 t=1140
pin xie jian cha 	拼寫檢查	c=1 d=1 t=1141
pin yin 	拼音	c=1 d=1 t=9405
ping 	平	c=1 d=1 t=6955
ping an 	平安	c=1 d=1 t=551
ping fen 	平分	c=1 d=1 t=5864
ping jia 	評價	c=2 d=1 t=17763
ping jun 	平均	c=5 d=2.37992 t=20514
ping jun da xiao 	平均大小	c=2 d=1.9802 t=20510
ping jun deng dai shi jian 	平均等待時間	c=1 d=1 t=20454
ping jun zhi 	平均值	c=1 d=1 t=19689
ping lun 	評論	c=1 d=1 t=19482
ping min 	平民	c=0 d=0.1 t=22725
ping min ruan jian 	平民軟件	c=1 d=1 t=22726
ping shen 	評審	c=13 d=1.99127 t=27311
ping shi 	平時	c=1 d=1 t=15578
ping si 	平四	c=1 d=1 t=5259
ping tai 	平台	c=4 d=1 t=6960
ping tan 	評彈	c=1 d=1 t=14243
ping wen 	平穩	c=1 d=1 t=13772
ping yi 	評議	c=0 d=0.1 t=6990
ping yi shu 	評議書	c=1 d=1 t=6991
ping yue 	評閱	c=0 d=0.1 t=6404
ping yue shu 	評閱書	c=3 d=2.94575 t=6411
po niang 	婆娘	c=0 d=0.1 t=5391
pu tong 	普通	c=22 d=1.70469 t=27224
pu tong gong ji 	普通攻擊	c=1 d=1 t=5457
qi 	器	c=2 d=0.1 t=24799
qi 	期	c=2 d=1.2265 t=18403
qi 	起	c=2 d=1 t=18488
qi 	騎	c=1 d=1 t=9328
qi 	齊	c=1 d=1 t=4126
qi ao 	淇奥	c=1 d=1.07045 t=7406
qi bu shi 	豈不是	c=1 d=1 t=6559
qi chuang 	起牀	c=0 d=0.1 t=7811
qi ci 	其次	c=1 d=1 t=6978
qi dai 	期待	c=1 d=1 t=16844
qi dian 	七點	c=2 d=1 t=9292
qi dong 	啓動	c=16 d=0.109838 t=23616
qi dong shi 	啓動時	c=1 d=1 t=23617
qi dong zhi hou 	啓動之後	c=1 d=1 t=4640
qi guai 	奇怪	c=6 d=1 t=27407
qi jian 	期間	c=4 d=1.00002 t=9055
qi jian 	起見	c=0 d=0.1 t=7753
qi lai 	起來	c=7 d=1 t=27063
qi qi guai guai 	奇奇怪怪	c=2 d=1 t=19262
qi shi 	其實	c=19 d=1.00008 t=27166
qi shi 	起始	c=3 d=1 t=25115
qi shi dian 	其實點	c=1 d=1 t=10200
qi shi shi yi 	其實是以	c=1 d=1 t=22994
qi shou 	騎手	c=1 d=1 t=24679
qi ta 	其它	c=40 d=1.11352 t=27246
qi ta ren 	其他人	c=1 d=1 t=7841
qi ting 	啓停	c=1 d=1 t=737
qi wang 	期望	c=4 d=1.00335 t=20553
qi xi 	七夕	c=0 d=0.1 t=11128
qi xi zhi guo 	七夕之國	c=2 d=1.00001 t=13396
qi ye 	企業	c=0 d=0.1 t=1802
qi yin 	起因	c=0 d=0.1 t=25197
qi yin shi 	起因是	c=1 d=1 t=25198
qi yong 	啓用	c=1 d=1 t=19036
qi yu 	其餘	c=1 d=1 t=24633
qi yuan 	起源	c=1 d=1 t=11136
qi zhong 	其中	c=12 d=0.100031 t=26474
qi zhong de 	其中的	c=1 d=1 t=26475
qia fan 	恰飯	c=1 d=1 t=7771
qian 	前	c=6 d=1.00051 t=26589
qian 	錢	c=6 d=1 t=8446
qian dao 	簽到	c=2 d=1.99005 t=10936
qian dao 	遷到	c=1 d=1 t=7595
qian duan 	前端	c=0 d=0.1 t=22396
qian hou 	前後	c=1 d=1 t=20396
qian jin 	前進	c=1 d=1 t=6299
qian ling 	乾陵	c=1 d=1 t=2360
qian mian 	前面	c=3 d=1 t=16490
qian ming 	簽名	c=4 d=1 t=19468
qian ming shu 	簽名書	c=1 d=1 t=6179
qian pai 	前排	c=1 d=1 t=5919
qian que 	欠缺	c=1 d=1 t=15570
qian que de 	欠缺的	c=1 d=1 t=10072
qian ru 	遷入	c=1 d=1 t=19950
qian tai 	前台	c=1 d=1 t=20652
qian ti 	前提	c=4 d=1 t=10480
qian ti 	前體	c=1 d=1 t=107
qian yan 	前言	c=1 d=1 t=662
qian yi 	前一	c=0 d=0.1 t=7081
qian yi 	遷移	c=4 d=1 t=21771
qian yi ye 	前一頁	c=1 d=1 t=7082
qian zai 	潛在	c=1 d=1 t=4537
qian zhui 	前綴	c=9 d=1.96107 t=27086
qian zhui huan cun 	前綴緩存	c=3 d=1.00003 t=27104
qian zi 	簽字	c=1 d=1 t=7910
qiang 	強	c=5 d=1 t=25183
qiang 	牆	c=1 d=1 t=549
qiang a 	強啊	c=1 d=1 t=3398
qiang ma 	強嗎	c=1 d=1 t=8722
qiang qiang 	強強	c=1 d=1 t=356
qiang xing 	強行	c=1 d=1 t=23127
qiang zhe 	強者	c=3 d=1.02522 t=20844
qiang zhuan 	強轉	c=1 d=1 t=18945
qiao chu 	翹楚	c=1 d=1.1 t=6884
qie 	且	c=18 d=1.06555 t=26437
qie 	切	c=1 d=1 t=8331
qie dao 	切到	c=1 d=1 t=23564
qie huan 	切換	c=6 d=1 t=23918
qie zhu 	切主	c=2 d=1.40657 t=6190
qin he xing 	親和性	c=3 d=2.98506 t=17805
qin ren 	親人	c=1 d=1 t=7394
qin shi 	寢室	c=3 d=0.126338 t=8786
qing 	慶	c=1 d=1 t=4734
qing 	清	c=1 d=1 t=21685
qing 	請	c=7 d=1 t=15981
qing 	青	c=1 d=1 t=7942
qing diao 	清掉	c=2 d=0.10012 t=14612
qing diao le 	清掉了	c=2 d=1.95123 t=14623
qing hua 	清華	c=6 d=1 t=21978
qing jia 	請假	c=11 d=1 t=23465
qing jing 	情景	c=1 d=1 t=10762
qing kong 	清空	c=9 d=1.18099 t=18187
qing kuang 	情況	c=43 d=1.15235 t=26932
qing kuang xia 	情況下	c=5 d=1 t=26739
qing le 	清了	c=2 d=1.94649 t=12795
qing li 	清理	c=6 d=1 t=21284
qing ni 	請你	c=1 d=1 t=1801
qing nian 	青年	c=1 d=1 t=9720
qing qiu 	請求	c=69 d=4.80423 t=26000
qing qiu shi 	請求時	c=1 d=1 t=25941
qing qiu zhong 	請求中	c=1 d=1 t=2099
qing shan 	青山	c=1 d=1 t=4433
qing wan 	清完	c=1 d=1 t=12814
qing wen 	請問	c=13 d=1 t=26688
qing xiang yu 	傾向於	c=1 d=0.1 t=26652
qing xing 	情形	c=1 d=1 t=8356
qiu jie 	求解	c=1 d=1 t=18692
qiu jie 	球節	c=1 d=1 t=18691
qiu la 	求拉	c=1 d=1 t=12191
qiu se 	秋色	c=1 d=1 t=18951
qiu zhao 	秋招	c=2 d=1.18825 t=10002
qiu zhi 	求知	c=1 d=1 t=18427
qu 	區	c=1 d=1 t=560
qu 	去	c=31 d=1 t=24446
qu 	取	c=2 d=1 t=25685
qu bie 	區別	c=7 d=0.10004 t=26319
qu bie le 	區別了	c=1 d=1 t=13825
qu bie ma 	區別嗎	c=1 d=1 t=3094
qu chong 	去重	c=1 d=1 t=16932
qu chu 	取出	c=1 d=1 t=25009
qu dang 	去當	c=1 d=1 t=1806
qu dao 	渠道	c=1 d=1 t=13994
qu diao 	去掉	c=2 d=1 t=16783
qu fen 	區分	c=4 d=1 t=26843
qu hao 	區號	c=1 d=1 t=7948
qu jian 	區間	c=9 d=1 t=14140
qu le 	去了	c=1 d=1 t=27087
qu na li 	去哪裏	c=1 d=1 t=4481
qu she 	取捨	c=1 d=1 t=18665
qu xiao 	取消	c=1 d=1 t=10623
qu zhao 	去找	c=1 d=1 t=2072
qu zhi xing 	去執行	c=1 d=1 t=12127
quan 	全	c=4 d=0.120291 t=27038
quan bei 	全被	c=1 d=1 t=23308
quan biao 	全表	c=3 d=1.00271 t=26671
quan bu 	全部	c=1 d=1 t=11663
quan cheng 	全程	c=1 d=1 t=12276
quan fang mian 	全方面	c=1 d=1 t=8714
quan guo 	全國	c=0 d=0.1 t=4409
quan guo you ming 	全國有名	c=1 d=1 t=4410
quan jia 	全家	c=1 d=1 t=418
quan ju 	全局	c=11 d=1.6986 t=27297
quan ju kai guan 	全局開關	c=3 d=2.44245 t=26641
quan ju suo yin 	全局索引	c=3 d=1.98844 t=23548
quan la le 	全拉了	c=1 d=1 t=27039
quan li 	全力	c=1 d=1 t=8751
quan liang 	全量	c=20 d=2.89796 t=16878
quan liu cheng 	全流程	c=1 d=1 t=26720
quan mian 	全面	c=1 d=1 t=1508
quan ming 	全名	c=1 d=1 t=3393
quan xian 	權限	c=3 d=0.1 t=27026
quan xian de 	權限的	c=1 d=1 t=18241
que 	卻	c=1 d=1 t=7322
que 	雀	c=1 d=1 t=9404
que bao 	確保	c=1 d=1 t=2896
que dian 	缺點	c=12 d=1 t=21828
que ding 	確定	c=5 d=1 t=26803
que ren 	確認	c=8 d=1 t=27289
que ren 	缺人	c=0 d=0.1 t=4802
que shao 	缺少	c=5 d=1 t=25428
que shi 	確實	c=17 d=1 t=27064
que shi 	缺失	c=2 d=1 t=25415
que xian 	缺陷	c=6 d=1.97054 t=19428
que zhi 	確指	c=1 d=1 t=26713
qun 	羣	c=4 d=1 t=27244
qun le 	羣了	c=1 d=1 t=7792
ran 	然	c=2 d=1.00001 t=11559
ran hou 	然後	c=54 d=1.00096 t=27102
ran ran 	然然	c=1 d=1 t=9272
rang 	讓	c=17 d=1.10953 t=25878
rang ren 	讓人	c=1 d=1 t=6346
rang ta 	讓他	c=1 d=1 t=10222
rang ta 	讓它	c=2 d=1 t=16101
rang wo 	讓我	c=2 d=1.88692 t=7369
ren 	人	c=10 d=1.08168 t=23888
ren 	任	c=3 d=1.00017 t=24342
ren da 	人大	c=0 d=0.1 t=354
ren da jin cang 	人大金倉	c=1 d=1 t=355
ren duo 	人多	c=1 d=1 t=5809
ren he 	任何	c=2 d=1 t=17672
ren jin jie zhi 	人盡皆知	c=1 d=1 t=4464
ren ming 	任命	c=2 d=1.956 t=5205
ren sheng 	人生	c=2 d=1 t=20846
ren shi 	人事	c=1 d=1 t=5204
ren shi dao 	認識到	c=1 d=1 t=18415
ren tai shao 	人太少	c=1 d=1 t=5821
ren wei 	人為	c=1 d=1 t=12449
ren wei 	認爲	c=1 d=1 t=12450
ren wu 	人物	c=2 d=1.90484 t=6352
ren wu 	任務	c=66 d=2.08787 t=26149
ren wu dui lie 	任務隊列	c=1 d=1 t=9994
ren xing 	任性	c=1 d=1 t=19146
ren yi 	任意	c=2 d=1.00002 t=10150
ren zhi 	認知	c=1 d=1 t=9629
reng 	仍	c=3 d=1 t=11803
reng 	扔	c=2 d=1 t=20930
reng chu lai 	扔出來	c=1 d=1 t=10595
reng dao 	扔到	c=8 d=1.00019 t=24774
reng de 	扔的	c=1 d=1 t=11320
reng diao 	扔掉	c=2 d=1 t=12167
reng le 	扔了	c=1 d=1 t=11999
reng you 	仍由	c=1 d=1 t=11983
ri 	日	c=11 d=1 t=21285
ri ben 	日本	c=1 d=1 t=25620
ri hui 	日會	c=1 d=1 t=21938
ri li 	日曆	c=1 d=1 t=147
ri qi 	日期	c=4 d=1 t=8296
ri qi 	日氣	c=0 d=0.1 t=142
ri zhi 	日誌	c=3 d=1.17059 t=11483
ri zi 	日子	c=1 d=1 t=7005
rong 	融	c=2 d=1 t=25124
rong liang 	容量	c=7 d=1.98511 t=24710
rong liang shang xian 	容量上限	c=1 d=1 t=14899
rong na 	容納	c=1 d=1.099 t=17015
rong ou meng 	融歐盟	c=2 d=1 t=9846
rong qi 	容器	c=1 d=1.00129 t=19010
rong qi nei 	容器內	c=1 d=1 t=18141
rong ru 	融入	c=1 d=1 t=18437
rong yi 	容易	c=3 d=1 t=25422
ru 	入	c=2 d=1.00014 t=13069
ru 	如	c=7 d=1.99501 t=25724
ru gu 	入股	c=1 d=1 t=14557
ru guo 	如果	c=178 d=1.26708 t=27274
ru guo zai 	如果在	c=1 d=1 t=4237
ru he 	如何	c=44 d=1.15253 t=25492
ru shang 	入賞	c=1 d=1 t=15914
ru shang 	如上	c=1 d=1 t=15915
ru tu 	如圖	c=1 d=1 t=785
ru tu suo shi 	如圖所示	c=1 d=1 t=15928
ru xia 	如下	c=22 d=1.10115 t=23899
ru xu 	如需	c=1 d=1 t=2326
ru zhi 	入職	c=1 d=0.196079 t=18413
ru zhi hou 	入職後	c=1 d=1 t=18414
ru zhi qian 	入職前	c=1 d=1 t=18406
ruan jian 	軟件	c=1 d=0.1 t=22725
rui 	瑞	c=1 d=1 t=22006
rui ping 	銳評	c=2 d=1 t=20062
rui zhi 	睿之	c=1 d=1 t=7406
ruo 	若	c=16 d=1 t=26579
ruo ci shi 	若此時	c=1 d=1 t=17698
ruo gan 	若干	c=7 d=2.60824 t=22374
ruo gan ge 	若干個	c=1 d=1 t=6009
ruo le 	弱了	c=1 d=1 t=5909
ruo you 	若有	c=2 d=1.99501 t=13551
sai 	塞	c=1 d=1 t=18755
sai bo 	賽博	c=1 d=1 t=9343
sai wen 	賽文	c=1 d=1 t=23078
san 	三	c=5 d=1.29376 t=26071
san 	散	c=1 d=1 t=9085
san bei 	三倍	c=1 d=1 t=19750
san bu qu 	三部曲	c=1 d=1 t=5134
san deng fen 	三等分	c=1 d=1 t=9207
san fang 	三方	c=1 d=1 t=9824
san fen 	三份	c=1 d=1 t=7750
san gao 	三高	c=0 d=0.1 t=13622
san gao san di 	三高三低	c=1 d=1 t=13623
san ge 	三個	c=11 d=1.00059 t=25672
san ge tiao jian 	三個條件	c=1 d=1 t=3851
san ge wen ti 	三個問題	c=1 d=1 t=2836
san ge yue 	三個月	c=1 d=1 t=23145
san lei 	三類	c=3 d=1 t=14258
san liu 	三流	c=1 d=1 t=25181
san luo 	散落	c=1 d=1 t=23164
san nian 	三年	c=2 d=1.99005 t=7317
san re 	散熱	c=1 d=1 t=21070
san ying 	三鷹	c=1 d=1 t=25159
san zhong 	三種	c=8 d=1 t=26133
san zhong 	三鐘	c=1 d=1 t=3331
sao 	掃	c=3 d=1 t=22633
sao de 	掃的	c=1 d=1 t=24512
sao le 	掃了	c=2 d=1 t=27161
sao miao 	掃描	c=4 d=2.94689 t=25366
sao wan 	掃完	c=1 d=1 t=16207
sao yi bian 	掃一遍	c=1 d=1 t=3530
sao yi duan 	掃一段	c=1 d=1 t=16200
sen 	森	c=1 d=1 t=9387
sen shan 	森山	c=4 d=1.0162 t=19682
sen shan wei nan 	森山威男	c=2 d=1.99501 t=19320
sha 	啥	c=17 d=0.508608 t=27362
sha 	殺	c=3 d=1 t=26266
sha bi 	傻逼	c=4 d=1 t=22028
sha cheng 	沙城	c=1 d=1 t=11183
sha cuo 	啥錯	c=1 d=1 t=9727
sha dao 	殺到	c=1 d=1 t=21166
sha diao 	殺掉	c=3 d=1.1549 t=21346
sha le 	殺了	c=1 d=1 t=20985
sha shi 	啥事	c=2 d=1 t=19301
sha shi 	啥是	c=2 d=1 t=22024
sha shi bu gan 	啥事不幹	c=1 d=1 t=10336
sha shi hou 	啥時候	c=5 d=1 t=18126
sha shi qing 	啥事情	c=1 d=1 t=5219
sha tan 	沙灘	c=2 d=1 t=18617
sha wen ti 	啥問題	c=1 d=1 t=27363
sha yong 	啥用	c=1 d=1 t=7271
shan 	刪	c=3 d=1 t=24434
shan 	山	c=1 d=1 t=18271
shan ben 	山本	c=0 d=0.1 t=10027
shan ben gang 	山本剛	c=9 d=2.86004 t=21853
shan chu 	刪除	c=15 d=1.04999 t=25137
shan diao 	刪掉	c=4 d=1 t=13440
shan le 	刪了	c=9 d=1.00956 t=25105
shan qu 	刪去	c=1 d=1 t=8172
shan qu 	扇區	c=11 d=8.61108 t=20516
shan xia da lang 	山下達郎	c=4 d=1 t=27421
shang 	上	c=59 d=1.1037 t=26506
shang 	尚	c=1 d=1 t=18285
shang ban 	上班	c=2 d=1 t=24854
shang ban le 	上班了	c=1 d=1 t=27362
shang bao 	上報	c=38 d=1 t=25805
shang ceng 	上層	c=2 d=1 t=19416
shang ceng 	商層	c=1 d=1 t=16000
shang che 	上車	c=0 d=0.1 t=17189
shang chuan 	上傳	c=1 d=1 t=21989
shang ci 	上次	c=12 d=1.00004 t=18815
shang ge 	上個	c=1 d=1 t=12496
shang hai 	上海	c=14 d=1.00028 t=27252
shang hai 	傷害	c=2 d=1.18919 t=5731
shang hai le 	上海了	c=1 d=1 t=25447
shang hai shi 	上海市	c=1 d=1 t=19604
shang he 	上荷	c=1 d=1 t=6276
shang jiao 	上角	c=1 d=1 t=4492
shang jie 	上界	c=1 d=1 t=12898
shang le 	上了	c=2 d=1 t=18999
shang mian 	上面	c=11 d=1.03778 t=24957
shang qu 	上去	c=1 d=1 t=683
shang sheng 	上升	c=1 d=1 t=26176
shang shu 	上述	c=2 d=1 t=25292
shang suo 	上鎖	c=2 d=1 t=26765
shang wei 	尚未	c=1 d=1 t=158
shang wen 	上文	c=2 d=1.00819 t=15704
shang wu 	上午	c=6 d=1 t=27096
shang xia wen 	上下文	c=1 d=1 t=2062
shang xian 	上限	c=15 d=1.13668 t=24568
shang yi ci 	上一次	c=1 d=1 t=7191
shang yi ge 	上一個	c=3 d=1.00109 t=17177
